"Según el documento, ¿qué afirmación sobre ""Introducción"" es correcta?","La bioseguridad hospitalaria es el conjunto de normas y procedimientos destinados a proteger la salud del personal, los pacientes y la comunidad frente a riesgos biológicos, físicos y químicos presentes en los entornos de atención de salud. — La fuente indica: La bioseguridad hospitalaria es el conjunto de normas y procedimientos destinados a proteger la salud del personal, los pacientes y la comunidad frente a riesgos biológicos, físicos y químicos presentes en los entornos de atención de salud."
"Según el documento, ¿qué afirmación sobre ""Higiene de manos"" es correcta?","La fricción debe mantenerse hasta que el producto se seque por completo sobre la piel, cubriendo palmas, dorso, espacios interdigitales y uñas. — La fuente indica: La fricción debe mantenerse hasta que el producto se seque por completo sobre la piel, cubriendo palmas, dorso, espacios interdigitales y uñas."
"Según el documento, ¿qué afirmación sobre ""Higiene de manos"" es correcta?",El lavado de manos con agua y jabón durante al menos 20 segundos es la medida individual más efectiva y de menor costo para prevenir la transmisión de microorganismos en el entorno de salud. — La fuente indica: El lavado de manos con agua y jabón durante al menos 20 segundos es la medida individual más efectiva y de menor costo para prevenir la transmisión de microorganismos en el entorno de salud.
"Según el documento, ¿qué afirmación sobre ""Equipo de protección personal (EPP)"" es correcta?","El equipo de protección personal comprende guantes, mascarillas, protección ocular, batas y calzado cerrado, seleccionados según el nivel de exposición esperado en cada procedimiento. — La fuente indica: El equipo de protección personal comprende guantes, mascarillas, protección ocular, batas y calzado cerrado, seleccionados según el nivel de exposición esperado en cada procedimiento."
"Según el documento, ¿qué afirmación sobre ""Equipo de protección personal (EPP)"" es correcta?","Las mascarillas deben cubrir nariz y boca de forma ajustada, sin tocarlas con las manos una vez colocadas. — La fuente indica: Las mascarillas deben cubrir nariz y boca de forma ajustada, sin tocarlas con las manos una vez colocadas."
"Según el documento, ¿qué afirmación sobre ""Manejo de residuos biocontaminados"" es correcta?",Los residuos generados en la atención de salud se clasifican según su nivel de riesgo. — La fuente indica: Los residuos generados en la atención de salud se clasifican según su nivel de riesgo.
"Según el documento, ¿qué afirmación sobre ""Manejo de residuos biocontaminados"" es correcta?","segura, y los circuitos internos de traslado y almacenamiento temporal previos a la disposición final, conforme a la normativa vigente del establecimiento y la autoridad sanitaria correspondiente. — La fuente indica: segura, y los circuitos internos de traslado y almacenamiento temporal previos a la disposición final, conforme a la normativa vigente del establecimiento y la autoridad sanitaria correspondiente."
"Según el documento, ¿qué afirmación sobre ""Limpieza y desinfección de superficies"" es correcta?","Las superficies de alto contacto —camillas, barandas, picaportes, equipos compartidos— deben limpiarse y desinfectarse con una frecuencia mayor que las superficies de bajo contacto, dado su rol en la transmisión indirecta de microorganismos. — La fuente indica: Las superficies de alto contacto —camillas, barandas, picaportes, equipos compartidos— deben limpiarse y desinfectarse con una frecuencia mayor que las superficies de bajo contacto, dado su rol en la transmisión indirecta de microorganismos."
"Según el documento, ¿qué afirmación sobre ""Notificación de incidentes y exposiciones"" es correcta?","Todo incidente que implique exposición a fluidos corporales —como un pinchazo accidental con material punzocortante usado, o salpicadura a mucosas— debe notificarse de inmediato al personal responsable de salud ocupacional del establecimiento, siguiendo el protocolo institucional de manejo de exposiciones. — La fuente indica: Todo incidente que implique exposición a fluidos corporales —como un pinchazo accidental con material punzocortante usado, o salpicadura a mucosas— debe notificarse de inmediato al personal responsable de salud ocupacional del establecimiento, siguiendo el protocolo institucional de manejo de exposiciones."
"Según el documento, ¿qué afirmación sobre ""Capacitación continua del personal"" es correcta?","La bioseguridad no depende únicamente de la existencia de protocolos escritos, sino de que todo el personal —nuevo y antiguo— los conozca, los comprenda, y los aplique de forma consistente. — La fuente indica: La bioseguridad no depende únicamente de la existencia de protocolos escritos, sino de que todo el personal —nuevo y antiguo— los conozca, los comprenda, y los aplique de forma consistente."
